Member,,"TOTAL ALLOWANCES CLAIMED, INC TRAVEL","TOTAL BASIC ALLOWANCES, EXC TRAVEL",TOTAL TRAVEL CLAIMED,Cost of staying away from main home,London supplement,Office running costs,Staffing costs,Centrally purchased stationery,Stationery associated postage costs,Central IT provision,Staff cover and other costs,Comms allowance,Mileage,MP Rail,MP Air,MP Misc (see notes),MP other Mileage,MP other Rail,MP other Air,MP other European,Spouse Total,No. of Journeys,Family Total,No. of Journeys,Employee Total,No. of Journeys
Kawczynski,Daniel,156737,146176,10561,21890,0,20722,88093,255,780,992,0,13444,3447,4066,0,504,0,87,0,2007,68,2,0,0,382,7
Vis,Dr Rudi,156728,150823,5905,23083,0,21328,88910,2104,4630,1378,0,9390,5292,0,0,0,0,0,0,613,0,0,0,0,0,0
Heald,Mr Oliver,156594,147995,8599,22979,0,20979,89679,831,3187,1083,0,9257,3246,3870,0,0,0,315,0,0,572,30,74,8,522,24
Plaskitt,Mr James,156552,151736,4816,22884,0,20571,90096,1953,5042,1349,0,9841,4593,22,0,0,0,0,0,0,0,0,0,0,201,15
Laws,Mr David,156511,148375,8136,19251,0,21425,90287,987,5186,1332,0,9907,6430,1056,0,0,0,526,0,0,0,0,0,0,124,8
Etherington,Bill,156467,139259,17208,22922,0,16323,95465,329,1907,1227,1086,0,4433,6651,0,0,0,185,0,608,3080,30,0,0,2251,12
Lansley,Mr Andrew,156411,149032,7379,21399,0,18067,93046,1180,3913,1178,305,9944,3125,1822,0,46,72,1322,179,385,428,16,0,0,0,0
Kumar,Dr Ashok,156385,141057,15328,23083,0,12034,90972,769,2666,1109,0,10424,4695,10388,0,0,0,0,0,0,0,0,0,0,245,8
Clelland,Mr David,156383,131364,25019,17279,0,21358,87423,378,558,1375,0,2993,2303,6797,9301,35,0,0,0,0,5298,29,0,0,1285,8
Simpson,Alan,156286,144637,11649,23083,0,21310,90505,1509,4030,1142,0,3058,3200,5662,0,0,0,0,0,0,1020,14,0,0,1767,24
Francis,Dr Hywel,156279,144896,11383,23083,0,17312,90366,337,1195,1157,0,11446,1929,6064,0,0,0,0,0,0,2895,25,0,0,495,6
Hood,Mr Jim,156260,137276,18984,19353,0,26267,78805,1011,1635,1061,0,9144,7250,1820,7863,1031,0,57,0,0,0,0,0,0,963,5
Baron,Mr John,156257,152839,3418,23083,0,13167,98653,1297,5355,1375,0,9909,2464,928,0,0,0,26,0,0,0,0,0,0,0,0
Hayes,Mr John,156255,146582,9673,22733,0,21300,90543,1900,4131,1347,0,4628,5161,2901,0,0,62,580,0,0,691,18,50,2,228,7
Battle,Rt Hon John,156214,141484,14730,18819,0,20622,90505,905,2071,1199,0,7363,2864,7865,166,0,0,0,0,0,610,6,0,0,3225,24
Chaytor,Mr David,156209,144074,12135,21584,0,21754,90089,353,279,1049,0,8966,3330,6006,375,925,0,0,0,501,481,3,0,0,517,10
Wyatt,Derek,156157,152164,3993,23083,0,18662,91575,1520,5444,1151,0,10729,2909,332,0,0,0,0,0,671,0,0,0,0,81,10
Mercer,Patrick,156067,140988,15079,23083,0,12856,98969,280,1601,1261,0,2938,5423,7067,0,0,0,0,0,0,1880,22,709,11,0,0
Cummings,John,156044,136316,19728,22075,0,12294,99549,227,988,1183,0,0,6644,10812,0,0,0,0,0,0,0,0,0,0,2272,20
Knight,Rt Hon Jim,155987,150379,5608,23083,0,15947,94135,2281,4033,1154,0,9746,939,4030,0,24,0,0,0,0,275,6,117,4,223,10
Merron,Gillian,155972,148611,7361,22641,0,13140,97565,1527,4461,1167,0,8110,1803,4495,0,0,0,0,0,0,0,0,0,0,1063,22
Clarke,Rt Hon Tom,155970,140165,15805,16264,0,11684,99782,613,1422,1162,0,9238,2158,1852,10766,129,0,0,0,0,0,0,0,0,900,6
Mitchell,Mr Austin,155956,139178,16778,23073,0,15452,90218,890,2722,1261,0,5562,6890,6032,0,0,0,0,0,0,3222,41,0,0,634,8
Oaten,Mr Mark,155911,146826,9085,22993,0,24738,85778,772,1607,1332,0,9606,3563,2892,0,0,0,0,0,766,926,30,305,8,633,14
Kilfoyle,Mr Peter,155856,141402,14454,23083,0,14096,97565,431,850,1347,0,4030,4310,7898,0,0,0,0,0,507,769,5,0,0,970,9
McCartney,Rt Hon Ian,155746,140940,14806,23083,0,17651,94193,858,3442,1109,0,604,492,11660,184,0,0,0,0,0,1404,22,0,0,1066,10
Maclean,Rt Hon David,155609,138102,17507,22638,0,25542,77643,649,1530,1803,0,8297,3922,12042,0,261,0,252,0,0,0,0,0,0,1030,10
Wiggin,Bill,155564,148026,7538,23083,0,11667,100009,858,2300,1360,0,8749,6355,244,0,0,0,254,382,0,239,5,64,2,0,0
Balls,Rt Hon Ed,155526,141041,14485,12219,0,21429,90414,2126,4470,1071,0,9312,4277,7019,0,50,0,0,0,0,0,0,2010,47,1129,17
Norris,Dan,155410,145625,9785,21078,0,18789,88243,4373,2625,1316,0,9201,5382,3144,0,11,0,0,0,0,0,0,0,0,1248,24
Ussher,Kitty,155388,144079,11309,22767,0,22007,84202,1193,3119,1171,0,9620,1560,4925,170,1305,0,0,0,0,3057,28,0,0,292,7
Waterson,Mr Nigel,155232,148210,7022,23083,0,18431,90985,814,2299,1371,0,11227,3880,1047,0,0,0,613,289,761,292,26,79,29,61,2
Austin,Mr Ian,155163,147505,7658,21925,0,19086,88703,1596,5400,1292,0,9503,1515,5197,0,6,0,0,0,0,563,9,16,6,361,7
Cohen,Harry,155026,151873,3153,23083,0,11341,100494,699,3109,1310,2810,9027,2380,0,0,16,560,0,0,0,132,30,0,0,65,18
Wright,David,154848,147323,7525,22573,0,13678,89442,871,2505,1268,0,16986,4511,262,0,19,0,0,0,0,2099,16,0,0,634,8
Barron,Rt Hon Kevin,154784,144252,10532,23083,0,12160,98254,377,565,1089,0,8724,7950,1627,0,0,0,0,0,0,681,8,0,0,274,4
Starkey,Dr Phyllis,154767,148119,6648,17969,0,21343,90500,1871,4164,1419,858,9995,1410,3018,0,1174,0,0,0,586,371,11,0,0,89,11
Browning,Angela,154738,146966,7772,22873,0,11498,98852,728,1881,1452,0,9682,6690,24,0,0,0,0,0,0,1058,8,0,0,0,0
Wright,Mr Anthony,154625,146116,8509,23083,0,23335,84937,868,1238,1325,0,11330,4544,3041,0,97,20,29,358,0,0,0,0,0,420,12
Riordan,Mrs Linda,154568,138549,16019,23083,0,17940,88823,1182,2921,1264,0,3336,2904,10312,0,1028,0,0,0,1205,0,0,0,0,570,4
Blackman,Liz,154567,148714,5853,22588,0,21153,89239,1524,5023,1176,1622,6389,5118,96,0,0,0,0,0,0,0,0,0,0,639,10
Foster,Mr Michael,154548,147540,7008,22847,0,16921,86832,1057,3785,1429,0,14669,4254,2715,0,0,0,0,0,0,0,0,0,0,39,2
Barrett,John,154441,142165,12276,22663,0,21833,81275,1195,1992,1211,2016,9980,0,2558,8408,0,0,105,0,0,719,6,0,0,486,9
Taylor,David,154277,141991,12286,17553,0,20512,89002,784,3209,1149,0,9782,4754,5431,0,1138,0,0,0,0,686,18,0,0,277,6
Denham,Rt Hon John,154260,147039,7221,23083,0,17574,89780,1185,3433,1417,877,9690,3391,2734,0,3,0,0,0,1093,0,0,0,0,0,0
Lloyd,Tony,154170,137904,16266,19706,0,23043,88060,602,1509,1053,0,3931,890,11986,938,0,0,0,0,290,0,0,0,0,2162,18
Leigh,Mr Edward,154113,143126,10987,22840,0,16314,95530,224,501,1447,0,6270,3097,3873,0,0,0,0,0,1188,1067,17,1639,37,123,2
Stuart,Ms Gisela,154100,145281,8819,18245,0,25779,85716,1192,3418,1335,0,9596,6450,942,747,0,0,0,0,319,0,0,0,0,361,7
Dhanda,Mr Parmjit,153906,146404,7502,20805,0,12319,93256,2405,4421,1325,0,11873,2812,4621,0,0,0,0,0,0,0,0,0,0,69,4
Cook,Frank,153902,135225,18677,23083,0,16791,83261,360,1062,1296,0,9372,9956,7244,0,0,51,116,0,0,0,0,0,0,1310,10
Gillan,Mrs Cheryl,153886,145182,8704,23057,0,19956,91658,815,5329,1217,0,3150,3384,81,0,0,416,4305,0,0,288,30,0,0,230,24
Simmonds,Mark,153873,144578,9295,23083,0,22862,88744,262,1109,1360,0,7158,4021,2925,0,25,155,162,0,252,1169,30,0,0,586,13
Fraser,Christopher,153822,142682,11140,23022,0,14217,91412,586,1896,1090,0,10459,7618,497,0,226,350,70,305,84,1792,28,0,0,198,6
Hanson,Rt Hon David,153794,138489,15305,23048,0,12250,86672,1270,4696,1115,0,9438,2381,9386,210,195,0,0,0,0,1743,18,971,13,419,10
Eagle,Maria,153742,143205,10537,17124,0,12047,99797,982,1870,1480,0,9905,3908,3679,620,0,0,0,0,0,0,0,0,0,2330,17
Streeter,Mr Gary,153644,140684,12960,22096,0,18412,92786,422,1495,1288,0,4185,1612,10212,0,19,0,169,208,174,0,0,0,0,566,5
Healey,Rt Hon John,153433,137331,16102,18674,0,24894,84204,1099,2258,1376,0,4826,2458,10886,0,0,0,9,0,0,2018,16,264,5,467,3
Carswell,Mr Douglas,153378,147084,6294,23083,0,21290,84770,570,2871,1296,0,13204,1253,4456,0,0,0,0,0,493,0,0,0,0,92,4
Yeo,Mr Tim,153358,147759,5599,23083,0,15720,96123,686,1680,1339,0,9128,5047,309,0,0,0,0,0,0,147,5,0,0,96,4
Fox,Dr Liam,153316,143815,9501,20746,0,19651,91346,363,1028,1398,0,9283,5119,1414,0,250,0,1468,218,983,49,2,0,0,0,0
Murphy,Mr Denis,153143,136714,16429,20881,0,19336,90549,327,340,776,0,4505,4775,9153,218,157,0,0,0,0,0,0,0,0,2126,13
Wills,Rt Hon Michael,153138,151685,1453,20766,0,10216,100554,1732,5254,1328,2429,9406,580,834,0,0,0,0,0,0,39,0,0,0,0,0
Willetts,Mr David,153073,145019,8054,22899,0,20601,91234,639,3478,1054,0,5114,1038,1833,338,0,0,1664,0,2934,100,1,147,6,0,0
McCarthy,Kerry,153035,148175,4860,21266,0,17395,94398,949,530,1322,3001,9314,1102,3461,0,0,0,0,0,0,0,0,0,0,297,8
O'Brien,Mr Stephen,153027,137609,15418,23034,0,23426,88143,351,1504,1151,0,0,7655,4320,0,460,538,564,0,0,725,13,100,3,1056,16
Sheridan,Jim,152989,134638,18351,23083,0,22525,84209,116,630,1109,0,2966,2794,1999,10991,182,0,0,0,1461,214,2,0,0,710,6
Taylor,Mr Ian,152963,148626,4337,23083,0,7972,103859,635,1927,1156,0,9994,4075,45,0,0,0,217,0,0,0,0,0,0,0,0
Mann,John,152933,142040,10893,13114,0,20655,89935,1767,5205,1439,0,9925,2222,6288,0,66,392,42,0,876,327,10,44,4,636,16
Bailey,Mr Adrian,152897,146501,6396,22862,0,16277,95548,540,1456,1125,2075,6618,1895,3638,0,27,0,0,0,0,308,5,0,0,528,24
Horwood,Mr Martin,152892,146098,6794,21449,0,19753,92048,564,1439,1008,0,9837,0,6133,0,90,0,0,0,0,57,6,0,0,514,12
Miller,Mrs Maria,152888,144482,8406,23000,0,19551,90601,916,2740,1228,0,6446,5142,333,0,45,0,0,0,410,241,18,2016,90,219,20
MacShane,Rt Hon Denis,152884,136518,16366,23083,0,18438,81529,825,1504,1459,0,9680,6132,5566,0,0,0,1506,198,1994,0,0,405,5,565,6
Woodward,Rt Hon Shaun,152822,147045,5777,23083,0,27763,84040,771,841,1222,0,9325,367,2735,1237,0,0,0,0,0,0,0,0,0,1438,12
Letwin,Rt Hon Oliver,152759,145715,7044,20558,0,15517,91544,820,2442,1180,1684,11970,3664,793,0,0,0,0,0,0,1622,26,965,26,0,0
McCafferty,Chris,152744,143247,9497,19576,0,13326,98491,585,1505,1071,0,8693,6580,1557,0,411,0,0,0,0,583,4,0,0,366,3
Cooper,Rt Hon Yvette,152659,137200,15459,12219,0,16588,90224,1759,4479,1120,1681,9130,1125,10033,0,130,0,0,0,0,0,0,2095,56,2076,23
Beith,Rt Hon Sir Alan,152563,138119,14444,17686,0,13491,85593,645,3040,1307,3719,12638,2916,7976,350,111,0,0,0,0,742,6,0,0,2349,20
Robertson,John,152542,133667,18875,20809,0,19715,82942,605,1519,1272,0,6805,4339,1481,10767,575,0,0,0,0,516,3,0,0,1197,10
Smith,Rt Hon Andrew,152389,148986,3403,13306,0,24257,86349,1811,5188,1482,5724,10869,3091,206,0,61,0,0,0,0,0,0,0,0,45,2
Havard,Mr Dai,152385,146884,5501,21120,0,18209,93136,742,2010,1170,0,10497,4714,0,0,0,80,0,0,0,0,0,0,0,707,11
Dorries,Nadine,152318,144061,8257,22528,0,19399,87098,250,665,1132,0,12989,3727,3634,0,896,0,0,0,0,0,0,0,0,0,0
Marsden,Mr Gordon,152300,138008,14292,9739,0,18680,93164,667,2413,1436,1909,10000,0,3867,9367,0,0,0,0,583,0,0,0,0,475,6
Baker,Norman,152212,147043,5169,21862,0,24993,84032,1324,3913,1073,358,9488,880,3347,0,0,0,238,0,461,97,7,73,7,73,6
Gove,Michael,152071,146509,5562,23083,0,15602,89446,516,1016,1141,0,15705,3560,184,0,0,0,1798,0,0,0,0,0,0,20,4
Kennedy,Rt Hon Jane,151977,140924,11053,23083,0,20253,92947,537,765,1371,1563,405,0,10374,0,350,0,0,0,0,0,0,0,0,329,2
Baird,Vera QC,151975,140075,11900,19728,0,17355,94488,577,1560,1258,0,5109,2420,8843,0,0,0,0,0,0,0,0,0,0,637,12
Ryan,Rt Hon Joan,151954,151233,721,21658,0,18719,91993,1612,5263,1048,0,10940,580,141,0,0,0,0,0,0,0,0,0,0,0,0
Ruffley,Mr David,151941,144207,7734,13760,0,22152,94781,1031,2046,1418,0,9019,5050,1620,0,0,0,258,0,0,0,0,0,0,806,24
Darling,Rt Hon Alistair,151904,130272,21632,9837,0,19085,90933,423,1394,1021,0,7579,248,1086,10033,0,0,0,0,0,5283,30,4391,25,591,4
Henderson,Mr Doug,151860,134160,17700,23083,0,9710,89766,623,3182,639,0,7157,5156,3951,3988,1033,0,0,0,0,2402,26,580,9,590,2
Stoate,Dr Howard,151660,147732,3928,17883,0,17221,93371,1556,5273,1176,0,11252,2253,1136,0,256,0,283,0,0,0,0,0,0,0,0
Lancaster,Mr Mark,151619,146282,5337,22541,0,19848,88283,1149,3471,1223,0,9767,3358,1473,0,20,0,233,0,0,31,1,0,0,222,21
Swire,Mr Hugo,151616,140234,11382,22802,0,23572,88271,517,1312,1076,0,2684,5669,2495,0,204,0,398,0,0,2373,30,243,6,0,0
Reed,Mr Andy,151604,144350,7254,22568,0,20933,89907,303,720,1176,0,8743,4730,1122,0,0,0,0,129,908,135,2,0,0,230,4
Harper,Mr Mark,151563,142576,8987,22978,0,21262,84265,772,2961,976,0,9362,1983,4345,0,355,0,666,0,0,1638,28,0,0,0,0
Paice,Mr James,151519,143475,8044,23083,0,14574,89199,437,1922,1116,0,13144,4890,545,0,182,581,1555,70,0,221,14,0,0,0,0
Butler,Ms Dawn,151515,151326,189,23083,0,15137,88783,2029,4887,1039,4972,11396,0,61,0,0,0,0,0,0,0,0,0,0,128,24
Shaw,Jonathan,151423,148833,2590,21254,0,14827,92201,1516,2796,1484,0,14755,1448,1028,0,0,0,16,0,0,24,2,0,0,74,9
Seabeck,Alison,151396,139615,11781,20037,0,21169,89712,642,1224,1071,0,5760,280,10766,0,0,0,532,0,0,0,0,0,0,203,4
Tipping,Paddy,151383,139548,11835,14227,0,21339,84457,984,6010,1929,0,10602,4143,6729,0,0,482,0,0,0,153,4,0,0,328,4
Keeley,Ms Barbara,151260,133804,17456,23077,0,28884,70686,652,2092,1012,0,7401,1706,10376,426,779,0,0,0,0,3546,24,0,0,623,22
Osborne,Mr George,151015,135918,15097,22994,0,18729,78767,639,3517,1307,0,9965,1778,6169,729,167,0,468,0,0,2968,21,1271,21,1547,10
McAvoy,Rt Hon Thomas,150976,135693,15283,22150,0,17167,86913,191,425,841,0,8006,2670,2037,10282,0,0,0,0,0,294,2,0,0,0,0
Murphy,Rt Hon Paul,150923,143987,6936,20536,0,17774,93617,472,827,1328,0,9433,3640,1224,0,0,0,0,0,0,0,0,0,0,2072,24
Rogerson,Dan,150809,138128,12681,22931,0,13432,87905,754,2055,966,305,9780,3448,6817,0,634,0,49,0,0,475,4,0,0,1258,16
Kidney,Mr David,150722,144475,6247,19680,0,21442,89082,1796,3774,1220,0,7481,0,5105,0,0,0,0,0,0,202,4,0,0,940,22
Irranca-Davies,Huw,150708,144561,6147,19434,0,21637,91779,1260,4500,1335,0,4616,4023,1552,0,0,0,0,0,0,315,6,109,6,148,4
Primarolo,Rt Hon Dawn,150616,144647,5969,23083,0,18050,90500,581,1511,1192,0,9730,860,4455,0,0,0,0,0,0,0,0,0,0,654,10
Bryant,Chris,150401,138173,12228,23083,0,15193,88356,467,990,1204,0,8880,3082,5242,0,1,0,102,0,1951,0,0,0,0,1850,22
Atkinson,Mr Peter,150370,136444,13926,23083,0,17811,87025,416,2119,1119,0,4871,3295,4443,2231,93,0,0,0,0,3758,29,0,0,106,1
Stuart,Mr Graham,150286,143009,7277,22410,0,23206,87418,1169,3023,1104,0,4679,1232,4062,0,21,0,23,0,1143,578,9,70,2,148,8
Todd,Mr Mark,150264,140223,10041,19023,0,13112,93906,1093,2809,1194,0,9086,4129,3989,0,349,0,0,0,0,1123,18,0,0,451,10
Coffey,Ann,150246,139976,10270,21985,0,19447,86421,1383,1915,1496,0,7329,2550,6240,0,961,0,0,0,0,308,4,0,0,211,5
Smith,Ms Angela C.,150240,139336,10904,22843,0,14575,86090,1319,3630,1138,0,9741,2828,4829,0,16,78,0,0,0,1951,27,96,2,1106,14
Mudie,Mr George,150139,136526,13613,9635,0,19648,92025,1171,3627,1238,0,9182,4591,6439,735,516,0,0,0,0,667,4,0,0,665,4
Grayling,Chris,150028,139923,10105,15332,0,22143,89699,927,1220,1163,0,9439,1499,2216,0,469,1209,4307,0,0,225,30,0,0,180,24
Howarth,Mr Gerald,150017,145046,4971,23083,0,15994,88011,286,864,1141,0,15667,3108,238,0,0,418,464,0,383,360,8,0,0,0,0
Lilley,Rt Hon Peter,149987,146932,3055,23083,0,17520,94322,1695,5239,1396,0,3677,2335,333,0,10,12,130,0,0,69,7,0,0,166,18
Howarth,Rt Hon George,149809,134429,15380,13896,0,15094,92979,679,1688,1459,0,8634,2216,11740,386,0,48,0,0,0,990,10,0,0,0,0
Price,Adam,149664,138870,10794,22788,0,19065,90773,283,510,1440,0,4011,4619,4626,0,45,0,0,0,0,0,0,0,0,1504,24
Engel,Mrs Natascha,149621,142779,6842,20267,0,16923,90183,793,2124,966,0,11523,4825,1092,0,0,0,9,0,0,372,12,0,0,544,14
Willott,Jenny,149594,143776,5818,23083,0,19903,88328,521,1405,1269,0,9267,1992,2532,0,406,0,0,0,0,0,0,0,0,888,18
Holloway,Mr Adam,149535,146933,2602,22587,0,13598,85166,957,2553,1009,0,21063,2306,45,0,15,236,0,0,0,0,0,0,0,0,0
Michael,Rt Hon Alun,149518,138871,10647,23083,0,15828,86400,591,1248,1891,0,9830,4087,4763,0,0,0,326,0,0,927,16,0,0,544,8
Clappison,Mr James,149498,140180,9318,15916,0,13908,96998,828,2248,1178,0,9104,1445,6456,284,0,0,0,0,0,877,27,256,18,0,0
Penning,Mike,149487,143827,5660,23083,0,21572,83479,1525,4557,1199,0,8412,5088,88,0,63,120,301,0,0,0,0,0,0,0,0
Garnier,Mr Edward,149484,139646,9838,23080,0,15648,91243,399,1963,1008,0,6305,6931,783,0,102,138,275,0,781,615,18,213,11,0,0
Djanogly,Mr Jonathan,149397,143758,5639,19736,0,16512,87925,801,3574,1249,5048,8913,3130,2260,0,0,0,0,0,0,10,0,10,1,229,10
Durkan,Mark,149364,136826,12538,20796,0,21882,85326,237,545,1199,0,6841,1721,707,8125,62,0,0,0,0,661,2,601,4,661,4
Lucas,Ian,149321,137011,12310,23083,0,21261,83671,705,1795,1219,0,5277,1206,9355,282,353,0,289,0,0,598,4,227,8,0,0
Foster,Michael Jabez,149318,144864,4454,14990,0,28852,82992,1962,4760,1308,0,10000,3084,802,0,193,0,12,0,0,97,14,0,0,266,10
Hemming,John,149288,145243,4045,21375,0,29031,82588,871,3768,1297,0,6313,1415,1737,0,0,0,0,0,0,667,16,226,6,0,0
Hunter,Mark,149081,141826,7255,19789,0,18445,90316,1410,3422,1048,0,7396,1159,5524,0,0,0,17,0,0,199,5,136,5,220,7
David,Mr Wayne,149036,137844,11192,22700,0,13171,97670,620,1886,1250,0,547,2746,6594,0,59,0,0,0,1474,0,0,0,0,319,8
Clegg,Rt Hon Nick,149026,141934,7092,23083,0,20678,90505,961,2067,937,0,3703,1780,3355,0,98,0,868,787,111,54,2,39,2,0,0
Burt,Lorely,149002,142298,6704,21398,0,20744,89154,1188,3077,1128,0,5609,3101,2422,0,0,296,214,0,0,245,12,0,0,426,18
Moss,Mr Malcolm,148970,142605,6365,23059,0,20881,89351,876,1790,1134,0,5514,4828,1114,0,62,0,0,0,0,262,5,0,0,99,2
Cameron,Rt Hon David,148829,146743,2086,19626,0,7588,103630,2594,4399,1294,5412,2200,997,89,0,0,0,0,0,0,652,25,0,0,348,20
Berry,Dr Roger,148799,141806,6993,20781,0,20940,87024,1244,2385,1275,0,8157,5095,0,0,119,0,0,0,722,358,5,0,0,699,8
Coaker,Mr Vernon,148767,139632,9135,12404,0,24011,86929,1380,3909,1196,0,9803,1735,6200,0,0,0,91,0,0,1011,16,0,0,98,6
Love,Mr Andy,148757,146216,2541,23083,0,19418,87933,1952,5046,1413,0,7371,1326,0,0,0,0,0,0,1194,0,0,0,0,21,13
Illsley,Mr Eric,148698,134991,13707,22869,0,14714,90662,227,340,956,0,5223,6285,3001,0,10,0,0,0,0,4273,30,0,0,138,2
Hoyle,Mr Lindsay,148685,133783,14902,20502,0,20782,81864,470,1290,1179,5133,2563,8203,2568,436,0,0,0,0,0,2785,30,0,0,910,10
Holmes,Paul,148542,139923,8619,19811,0,21304,88248,1375,1630,1206,0,6349,1815,6305,0,0,169,96,0,0,0,0,54,1,180,6
Smith,John,148514,139355,9159,23083,0,18453,77861,731,3277,983,0,14967,4904,3768,0,129,0,47,0,0,311,3,0,0,0,0
Duncan,Mr Alan,148448,140847,7601,23027,0,26763,82886,499,2538,1111,0,4023,5203,1486,0,0,0,600,0,0,0,0,0,0,312,3
Leech,Mr John,148434,140368,8066,12993,0,17380,94425,970,3820,1008,0,9772,4433,2622,0,164,0,0,0,441,0,0,0,0,406,12
Soames,Hon Nicholas,148424,146432,1992,21869,0,19322,89677,527,1846,1376,0,11815,1837,145,0,0,0,0,0,0,0,0,0,0,10,2
Maude,Rt Hon Francis,148402,140719,7683,23083,0,18950,87784,554,1378,1111,0,7859,1854,1971,0,254,0,3509,0,0,72,7,23,2,0,0
Hendry,Charles,148399,142412,5987,23083,0,23703,81821,718,2327,1039,0,9721,2499,772,0,341,248,1157,579,0,376,15,15,2,0,0
Davey,Mr Edward,148201,146197,2004,0,2812,26281,85362,1109,2137,1203,17603,9690,0,1784,0,0,0,0,0,220,0,0,0,0,0,0
Burt,Alistair,148172,139661,8511,22322,0,23161,84767,523,1398,1135,0,6355,3384,1568,0,0,73,990,0,1607,568,30,0,0,321,17
James,Mrs Sian C.,148151,138684,9467,21070,0,18431,90619,818,1490,1290,0,4966,0,8573,0,0,0,9,0,0,583,4,0,0,302,2
MacNeil,Mr Angus,148147,110116,38031,20228,0,16743,70096,70,770,1173,0,1036,1600,4148,28137,1384,0,0,0,1053,482,3,1018,8,209,4
Jones,Mr David,148146,136473,11673,22632,0,18588,81955,497,2011,984,0,9806,3870,5312,1294,385,56,0,0,0,560,7,0,0,196,4
Keen,Alan,147976,146408,1568,19855,0,13449,97101,1543,3549,1125,0,9786,1448,0,0,120,0,0,0,0,0,0,0,0,0,0
Crausby,Mr David,147942,138012,9930,23083,0,19137,85344,334,1190,1261,0,7663,8140,213,228,0,0,0,0,0,1349,14,0,0,0,0
Fisher,Mark,147664,139360,8304,23083,0,8211,99814,493,600,1219,0,5940,6816,1248,0,0,0,0,0,0,0,0,0,0,240,4
Gapes,Mike,147663,143829,3834,22291,0,20616,91227,572,1800,1425,0,5898,2402,1387,0,12,6,27,0,0,0,0,0,0,0,0
Blunkett,Rt Hon David,147572,144517,3055,23083,0,17624,87928,1071,3183,1309,0,10319,1098,1808,0,0,0,149,0,0,0,0,0,0,0,0
