Member,,"TOTAL ALLOWANCES CLAIMED, INC TRAVEL","TOTAL BASIC ALLOWANCES, EXC TRAVEL",TOTAL TRAVEL CLAIMED,Cost of staying away from main home,London supplement,Office running costs,Staffing costs,Centrally purchased stationery,Stationery associated postage costs,Central IT provision,Staff cover and other costs,Comms allowance,Mileage,MP Rail,MP Air,MP Misc (see notes),MP other Mileage,MP other Rail,MP other Air,MP other European,Spouse Total,No. of Journeys,Family Total,No. of Journeys,Employee Total,No. of Journeys
Brazier,Mr Julian,134800,129279,5521,15071,0,10913,95117,829,3450,1059,0,2840,3081,207,0,6,1023,0,0,0,397,30,550,50,257,21
Vara,Mr Shailesh,134585,128009,6576,22839,0,10075,90711,1133,1235,917,0,1099,4860,729,0,0,0,63,0,0,924,4,0,0,0,0
Laing,Mrs Eleanor,134583,133805,778,23082,0,21032,83456,280,1184,1199,0,3572,778,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainsworth,Rt Hon Bob,134515,130817,3698,23083,0,19724,79747,426,978,1312,0,5547,605,2282,0,0,0,0,0,0,459,6,0,0,352,4
McNulty,Rt Hon Tony,134402,134402,0,12600,0,17892,90709,763,2243,981,0,9214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Rt Hon Michael,134316,122476,11840,22000,0,10873,82621,751,4858,1181,0,192,2808,8207,0,0,0,59,0,0,326,11,0,0,440,10
Barlow,Ms Celia,134309,126373,7936,0,0,22664,86070,692,2767,1071,0,13109,1161,4553,0,1394,0,27,0,249,397,12,101,8,54,5
McDonagh,Siobhain,134302,132508,1794,0,2812,9487,92408,1378,5285,1429,0,19709,1794,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,Mr David,134300,118899,15401,17784,0,16114,78550,18,190,1350,0,4893,2829,1576,9824,104,0,102,0,0,18,0,0,0,948,8
Khan,Mr Sadiq,134211,132621,1590,0,2812,24666,86316,1918,5010,1166,0,10733,1484,80,0,26,0,0,0,0,0,0,0,0,0,0
Dunne,Mr Philip,134183,128102,6081,0,0,20547,90297,1380,4417,1149,0,10312,0,3707,0,0,0,0,0,0,2012,28,232,6,130,2
Alexander,Rt Hon Douglas,134127,116182,17945,17169,0,17335,66668,2141,4619,1396,0,6854,264,5400,4693,0,0,0,0,0,4082,28,3153,23,353,2
Prosser,Gwyn,134083,129456,4627,14611,0,20035,85218,778,1931,1308,0,5575,4042,167,0,0,0,0,0,0,418,15,0,0,0,0
Hermon,Lady Sylvia,134004,125072,8932,16999,0,12309,92017,362,2634,685,0,66,0,437,7573,0,0,0,0,0,0,0,0,0,922,4
Bell,Sir Stuart,133933,112748,21185,22934,0,5086,77127,238,835,1061,0,5467,5555,10214,0,0,0,0,0,843,4095,26,0,0,478,4
Reid,Mr Alan,133927,118257,15670,15489,0,17536,68598,591,990,1363,0,13690,2501,2241,9397,1531,0,0,0,0,0,0,0,0,0,0
Jones,Mr Martyn,133729,125502,8227,23083,0,21712,67956,615,1973,1346,0,8817,7009,430,0,0,0,0,428,360,0,0,0,0,0,0
Pugh,Dr John,133355,128619,4736,23083,0,18088,77412,654,1431,1142,0,6809,872,2422,0,0,0,102,0,0,846,25,0,0,494,14
Drew,Mr David,133256,125676,7580,10479,0,14902,89330,1268,5732,1762,0,2203,2736,4405,0,0,0,0,0,0,404,9,0,0,35,2
Hodge,Rt Hon Margaret,133255,132071,1184,0,2812,24767,85976,1869,4430,1199,0,11018,1184,0,0,0,0,0,0,0,0,0,0,0,0,0
Buck,Ms Karen,133234,132157,1077,0,2812,18720,92761,2591,4405,1182,0,9686,0,1077,0,0,0,0,0,0,0,0,0,0,0,0
Lammy,Rt Hon David,133224,131739,1485,0,2812,18828,93013,1427,4475,1310,0,9874,0,1096,0,0,0,389,0,0,0,0,0,0,0,0
Howells,Dr Kim,133191,119660,13531,16013,0,5407,89853,304,1016,1212,0,5855,3724,6807,0,0,0,180,0,0,2265,21,0,0,555,22
Heal,Sylvia,133175,125444,7731,9707,0,12499,91356,1147,3275,1092,0,6368,3495,2845,0,0,0,0,0,0,882,18,0,0,509,19
Walter,Mr Robert,133170,122923,10247,22496,0,9529,79830,656,2940,1463,0,6009,5910,1651,0,1674,49,12,101,0,0,0,0,0,850,23
McIntosh,Miss Anne,133116,119821,13295,20382,0,12767,81071,710,1580,1163,0,2148,3677,3216,1580,2411,181,400,0,732,158,4,0,0,940,8
Brooke,Annette,132921,127465,5456,16285,0,19564,82177,825,3019,1216,0,4379,1440,2414,0,0,0,0,0,866,0,0,0,0,736,24
Dobbin,Jim,132884,123754,9130,9425,0,16088,95754,481,0,1309,0,697,6564,60,0,61,184,62,0,961,564,4,0,0,674,4
Marris,Rob,132513,128966,3547,11973,0,16056,89696,1311,1490,844,0,7596,836,2007,0,32,0,0,0,0,45,2,0,0,627,10
Howarth,David,132469,127832,4637,0,0,25970,89046,708,2180,1037,5043,3848,0,4348,0,0,10,0,0,0,0,0,0,0,279,24
Thornberry,Ms Emily,132390,132390,0,0,2812,21351,83106,2037,4626,1071,0,17387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murphy,Conor,132361,129721,2640,21000,0,21293,85790,55,170,1413,0,0,1650,0,575,0,0,0,0,0,415,2,0,0,0,0
Salter,Martin,132263,124365,7898,0,0,20805,88865,1239,3041,1113,0,9302,1085,6413,0,5,173,0,0,0,0,0,0,0,222,10
Wilson,Mr Rob,132218,121633,10585,0,0,16580,89718,745,2952,1452,0,10186,1680,6960,0,1482,0,235,0,0,0,0,0,0,228,16
Curry,Rt Hon David,131899,121911,9988,9439,0,18172,90382,591,2237,1090,0,0,7090,2834,0,21,0,11,0,0,32,2,0,0,0,0
Boswell,Mr Tim,131781,127799,3982,6332,0,11653,91367,629,2924,999,0,13895,2557,310,0,13,0,0,0,1059,43,3,0,0,0,0
Clark,Greg,131754,128878,2876,23000,0,5221,94003,788,1526,1089,0,3251,690,1816,0,1,32,68,0,0,269,16,0,0,0,0
Abbott,Ms Diane,131735,129946,1789,0,2812,20178,90325,1521,3906,1351,1905,7948,1619,44,0,0,0,126,0,0,0,0,0,0,0,0
Johnson,Rt Hon Alan,131711,122952,8759,11274,0,16346,84210,1299,4055,1139,0,4629,532,7231,0,0,0,0,0,0,0,0,0,0,996,10
Marshall,Mr David,131698,115799,15899,20779,0,17032,75198,627,1170,934,0,59,4273,2224,6202,49,0,0,0,0,1502,11,0,0,1649,12
Wicks,Rt Hon Malcolm,131601,131405,196,0,2812,21003,90747,1600,4023,1304,0,9916,196,0,0,0,0,0,0,0,0,0,0,0,0,0
Dean,Mrs Janet,131574,126520,5054,17261,0,11816,83932,1216,2938,1472,0,7885,1680,3324,0,0,0,0,0,0,0,0,0,0,50,2
Jenkins,Mr Brian,131554,125435,6119,8872,0,20593,82722,1262,4484,1417,0,6085,2744,3228,0,0,0,0,0,0,147,2,0,0,0,0
Hall,Patrick,131390,130013,1377,14940,0,17836,88444,804,1483,1180,0,5326,0,940,0,0,0,0,0,0,437,30,0,0,0,0
Prentice,Bridget,131352,130565,787,0,2812,30198,80832,1087,5364,1298,0,8974,787,0,0,0,0,0,0,0,0,0,0,0,0,0
Caton,Mr Martin,131324,124727,6597,13022,0,14366,84769,258,1479,1095,0,9738,5258,1339,0,0,0,0,0,0,0,0,0,0,0,0
Maples,Mr John,131255,126858,4397,23000,0,18662,75306,634,2822,1155,0,5279,4337,0,0,0,0,0,0,0,0,0,0,0,60,4
Ruddock,Joan,131237,130766,471,0,2812,22852,88964,1179,4938,1127,0,8894,400,0,0,0,0,0,0,71,0,0,0,0,0,0
Dowd,Jim,131165,128383,2782,0,2812,22723,88998,611,2277,1261,0,9701,1607,19,0,0,0,0,0,1156,0,0,0,0,0,0
Hughes,Simon,131165,130231,934,0,2812,17500,94343,1908,4207,1136,0,8325,934,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,Dr Julian,131141,125190,5951,21604,0,16981,83049,590,1290,1345,0,331,3014,567,0,0,214,343,323,1399,0,0,0,0,91,8
Field,Mr Mark,131071,130128,943,0,2812,13540,93805,328,1565,896,3168,14014,0,928,0,0,0,15,0,0,0,0,0,0,0,0
Linton,Martin,131070,128547,2523,0,2812,20255,86957,1177,5819,1170,0,10357,0,1163,0,600,0,0,0,760,0,0,0,0,0,0
Greenway,Mr John,130967,121767,9200,23082,0,15370,80870,147,872,1426,0,0,4381,3508,0,0,0,16,0,0,891,6,0,0,404,4
Conway,Derek,130947,125363,5584,23033,0,23011,73772,395,959,1447,0,2746,5418,141,0,0,0,25,0,0,0,0,0,0,0,0
Ellwood,Mr Tobias,130186,123131,7055,23083,0,29718,66091,240,980,1065,0,1954,599,4083,0,0,0,552,0,891,706,10,0,0,224,11
George,Rt Hon Bruce,129901,121977,7924,15940,0,12448,90450,439,1052,1389,0,259,4460,213,0,129,0,0,0,1142,1440,30,0,0,540,13
Efford,Clive,129840,127623,2217,0,2812,18393,90939,1164,1818,1195,0,11302,1366,803,0,0,0,19,0,0,6,2,0,0,23,4
Brake,Tom,129781,127192,2589,0,2812,22367,90505,-1854,5573,1261,0,6528,432,1863,0,24,0,270,0,0,0,0,0,0,0,0
Mullin,Mr Chris,129581,123897,5684,12942,0,18110,87528,430,1149,1050,1169,1519,567,4649,202,0,0,55,0,0,99,2,0,0,112,6
Purnell,Rt Hon James,129564,123195,6369,21209,0,17959,76465,499,1249,1180,0,4634,204,4282,612,264,0,0,0,0,0,0,0,0,1007,11
Miliband,Rt Hon Edward,129482,123728,5754,7670,0,19344,90048,473,870,1290,0,4033,0,4558,0,0,0,0,0,0,0,0,0,0,1196,24
Featherstone,Lynne,129431,128179,1252,0,2812,15808,94107,1021,1369,1138,0,11924,1152,100,0,0,0,0,0,0,0,0,0,0,0,0
Corbyn,Jeremy,129310,127484,1826,0,2812,17873,93971,1189,4356,1136,0,6147,0,409,0,427,145,102,127,616,0,0,0,0,0,0
Beresford,Sir Paul,129274,124220,5054,3521,0,15889,86294,228,1328,1362,0,15598,4889,165,0,0,0,0,0,0,0,0,0,0,0,0
Goodman,Mr Paul,128899,126342,2557,13831,0,10493,89477,501,1199,959,0,9882,366,1546,0,0,0,645,0,0,0,0,0,0,0,0
Young,Rt Hon Sir George,128883,122877,6006,23083,0,8665,83682,830,3788,1198,0,1631,1974,2955,0,0,0,0,0,0,764,23,0,0,313,9
Osborne,Sandra,128701,110390,18311,18816,0,18814,60432,367,1640,1229,918,8174,2644,1815,10264,1436,0,0,0,0,2152,19,0,0,0,0
Burstow,Mr Paul,128666,126125,2541,0,2812,12006,87754,1798,4963,1267,0,15525,769,1687,0,0,0,0,78,0,0,0,0,0,7,4
Hammond,Stephen,128494,124332,4162,0,2812,13787,93901,661,2456,1107,0,9608,1600,1314,0,69,62,1024,73,0,20,8,0,0,0,0
Grieve,Mr Dominic,128343,126115,2228,18668,0,21582,80741,946,2792,1386,0,0,335,1624,0,0,0,269,0,0,0,0,0,0,0,0
Watkinson,Angela,128205,126083,2122,21234,0,10238,83910,874,3076,1172,0,5579,1777,300,0,0,0,45,0,0,0,0,0,0,0,0
Hunt,Mr Jeremy,128191,121862,6329,11610,0,14191,83445,204,407,1337,0,10668,3604,289,0,28,20,1020,296,630,0,0,0,0,442,24
Robinson,Rt Hon Peter,128174,114163,14011,19864,0,15301,72870,288,1355,1349,0,3136,0,799,10249,0,0,0,0,1503,0,0,0,0,1460,16
McFadden,Rt Hon Pat,128006,120817,7189,15269,0,19841,74725,1147,3080,1138,0,5617,3208,3981,0,0,0,0,0,0,0,0,0,0,0,0
Hogg,Rt Hon Douglas,127902,119059,8843,23083,0,20981,68822,1149,3841,1183,0,0,1771,4876,0,0,0,0,0,0,2196,29,0,0,0,0
Cunningham,Tony,127825,109121,18704,16903,0,10860,77036,595,1760,1080,0,887,4097,13873,0,0,0,0,0,0,346,2,233,3,155,2
Burnham,Rt Hon Andy,127804,117000,10804,10504,0,13860,87563,683,2318,1211,0,861,0,10409,0,0,0,0,0,0,368,3,27,1,0,0
Harman,Rt Hon Harriet,127685,127332,353,0,2812,9241,99397,1876,3774,1158,0,9074,232,0,0,0,0,121,0,0,0,0,0,0,0,0
Brennan,Kevin,127600,116919,10681,23083,0,10708,72918,281,1250,1061,0,7618,1589,6866,0,0,0,0,0,0,1208,16,251,6,767,24
Butterfill,Sir John,127214,121539,5675,22877,0,10617,76218,485,1275,1004,0,9063,4606,174,0,0,0,21,0,746,128,4,0,0,0,0
Shapps,Grant,127152,120364,6788,7269,0,23118,80756,686,3019,1072,0,4444,1263,5525,0,0,0,0,0,0,0,0,0,0,0,0
Robinson,Mr Geoffrey,127063,105529,21534,0,0,9576,87806,814,2295,885,0,4153,3959,15999,160,0,0,0,0,0,46,2,0,0,1370,16
Kramer,Susan,127039,127039,0,0,2812,22733,85193,1579,4878,1065,0,8779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burrowes,Mr David,126967,126090,877,0,2812,18076,86713,827,2660,1180,2493,11329,0,754,0,0,0,105,0,0,12,4,0,0,6,0
Bottomley,Peter,126603,120992,5611,23083,0,8748,82857,530,1877,1298,0,2599,4642,83,0,0,78,0,0,711,40,3,0,0,57,4
Hillier,Meg,126487,125559,928,0,2812,5725,90514,1661,5320,882,0,18645,0,928,0,0,0,0,0,0,0,0,0,0,0,0
Dorrell,Rt Hon Stephen,126479,120359,6120,22368,0,5638,87978,700,2540,1135,0,0,5926,41,0,0,0,0,0,0,153,5,0,0,0,0
Teather,Sarah,126426,124881,1545,0,2812,26118,83630,933,2217,1158,0,8013,240,1096,0,0,0,48,161,0,0,0,0,0,0,0
Jowell,Rt Hon Tessa,126405,125351,1054,0,2812,10518,102028,1168,2262,1158,0,5405,1006,0,0,0,48,0,0,0,0,0,0,0,0,0
Straw,Rt Hon Jack,126367,120721,5646,8039,0,29201,73059,2030,3275,1321,0,3796,0,3249,375,0,0,0,0,0,282,2,0,0,1740,16
Stringer,Graham,126260,112721,13539,20042,0,17123,70369,910,1356,1635,0,1286,5102,7294,0,356,0,0,0,0,0,2,0,2,787,8
Cable,Dr Vincent,126140,124460,1680,0,2812,21333,90422,1152,3948,1255,0,3538,1680,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabricant,Michael,126074,118243,7831,23083,0,12383,73789,569,2819,521,0,5079,3442,4389,0,0,0,0,0,0,0,0,0,0,0,0
Evans,Mr Nigel,126043,111038,15005,18374,0,11512,75973,514,1531,1203,0,1931,3661,1394,9326,0,0,0,0,0,0,0,0,0,624,11
Kaufman,Rt Hon Sir Gerald,125649,110056,15593,13558,0,10046,80531,849,2485,522,0,2065,1656,13303,186,49,0,61,0,0,0,0,0,0,338,2
Wright,Dr Tony,125602,117082,8520,16162,0,15431,78159,743,2643,947,1073,1924,1634,6627,0,0,0,0,0,0,259,4,0,0,0,0
Robinson,Mrs Iris,125473,113500,11973,20478,0,8079,78175,879,3192,1382,0,1315,1820,479,9649,25,0,0,0,0,0,0,0,0,0,0
Byers,Rt Hon Stephen,125369,112343,13026,18091,0,20380,62166,516,1860,1244,0,8086,1442,8600,1663,0,0,0,0,685,0,0,0,0,636,4
Brown,Rt Hon Gordon,124454,111536,12918,17073,0,18847,69915,294,1382,1138,0,2887,0,1082,5554,0,0,0,0,0,3178,19,3104,31,0,0
Spellar,Rt Hon John,124326,118967,5359,11779,0,9799,85941,342,975,1029,0,9102,4534,220,0,0,0,0,0,0,0,0,0,0,605,12
Watts,Mr Dave,123836,109214,14622,11632,0,26763,59222,567,1497,1125,0,8408,1804,12588,0,0,0,0,0,0,230,2,0,0,0,0
Robertson,Hugh,123820,117406,6414,23083,0,16605,75733,291,510,1184,0,0,4184,736,0,0,539,494,0,291,170,11,0,0,0,0
Iddon,Dr Brian,123687,117356,6331,17398,0,19181,78817,240,502,1218,0,0,5824,0,0,0,0,50,0,0,241,5,0,0,216,6
Walker,Mr Charles,123133,120436,2697,10358,0,8970,90670,903,2404,1146,0,5985,1104,1010,0,296,0,14,0,0,256,20,0,0,17,2
Clarke,Rt Hon Kenneth,123076,117272,5804,17565,0,6866,88112,807,1592,1104,0,1226,4300,0,0,0,0,0,0,0,1504,30,0,0,0,0
Haselhurst,Rt Hon Sir Alan,122968,117926,5042,22957,0,10361,69779,827,3022,1040,0,9940,2476,2026,0,0,0,0,0,0,277,12,0,0,263,12
Hammond,Mr Philip,122586,117911,4675,23075,0,12046,78705,329,965,1261,0,1530,2151,42,0,54,122,2071,0,0,235,19,0,0,0,0
Horam,Mr John,121975,120065,1910,11452,0,26440,69225,406,1199,656,0,10687,1910,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,Kelvin,121809,116015,5794,1242,0,21298,88520,674,1821,1277,0,1183,600,3919,0,354,0,0,0,873,0,0,0,0,48,2
Gauke,Mr David,121782,119912,1870,20186,0,6962,85630,539,1291,878,0,4426,570,1300,0,0,0,0,0,0,0,0,0,0,0,0
Lord,Sir Michael,121772,115440,6332,23047,0,13154,73594,448,1858,1045,0,2294,4455,617,0,0,0,0,0,0,1260,30,0,0,0,0
Milton,Anne,121652,117903,3749,0,0,11734,91316,872,2813,1065,0,10103,2565,872,0,78,171,63,0,0,0,0,0,0,0,0
Key,Robert,121637,116320,5317,17611,0,16674,74139,445,1249,1108,0,5094,4124,63,0,0,113,0,0,0,803,19,0,0,214,6
Fitzpatrick,Jim,121553,121003,550,0,2812,10984,89352,1210,5741,1073,4471,5360,0,550,0,0,0,0,0,0,0,0,0,0,0,0
Ingram,Rt Hon Adam,121499,95551,25948,23083,0,15822,53017,644,1256,1193,0,536,4638,2365,14533,1149,0,0,0,0,2817,17,0,0,446,3
Hurd,Mr Nick,121481,119037,2444,0,2812,20025,80990,216,690,981,0,13323,2084,360,0,0,0,0,0,0,0,0,0,0,0,0
Twigg,Derek,121424,109569,11855,16800,0,12328,64546,452,1675,1258,8130,4380,660,9794,0,105,0,0,0,0,646,6,327,6,323,2
Hands,Mr Greg,121357,121357,0,0,2812,20731,87397,587,3174,1305,0,5351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winterton,Lady Ann,121352,117530,3822,20194,0,14375,78990,821,2013,1137,0,0,2235,1587,0,0,0,0,0,0,0,0,0,0,0,0
Marshall-Andrews,Mr Robert,121161,120077,1084,19261,0,9885,79192,362,1240,1295,0,8842,589,495,0,0,0,0,0,0,0,0,0,0,0,0
Hill,Rt Hon Keith,121151,120015,1136,0,2812,7735,93501,1185,3918,1193,0,9671,0,1136,0,0,0,0,0,0,0,0,0,0,0,0
Spelman,Mrs Caroline,120832,102415,18417,10760,0,12642,55488,227,595,1749,13897,7057,4639,6075,0,168,0,166,0,0,3075,29,3885,70,409,17
Greening,Justine,120435,119028,1407,0,2812,20379,83285,817,2588,1237,0,7910,664,673,0,70,0,0,0,0,0,0,0,0,0,0
Scott,Mr Lee,120079,116234,3845,0,2812,14585,89273,595,2391,926,0,5652,3068,529,0,20,0,0,0,0,116,30,0,0,112,24
Davies,Dai,119697,116654,3043,22506,0,13738,79059,48,408,895,0,0,0,2698,0,0,0,0,0,0,219,10,70,7,56,2
Rifkind,Rt Hon Sir Malcolm,119685,114590,5095,0,2812,12509,91048,479,2641,913,0,4188,1640,82,2567,307,0,0,0,0,499,3,0,0,0,0
Fallon,Mr Michael,119667,114757,4910,22853,0,12413,72015,430,1125,1183,0,4738,720,4120,0,26,0,0,0,0,44,8,0,0,0,0
Malins,Sir Humfrey,119492,113168,6324,10459,0,16009,75729,607,1853,743,0,7768,3994,1275,0,586,0,0,0,0,193,30,0,0,276,24
Timms,Rt Hon Stephen,119225,119225,0,0,2812,5315,99526,744,2485,1250,2140,4953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whittingdale,Mr John,119116,111273,7843,23083,0,9255,70071,482,1590,1251,0,5541,5158,1850,0,123,0,0,0,0,640,21,72,6,0,0
Gummer,Rt Hon John,118786,117425,1361,23076,0,15384,72787,530,2577,1212,0,1859,86,620,0,0,0,0,0,0,0,0,0,0,655,20
May,Rt Hon Theresa,118147,115783,2364,4288,0,6641,90983,511,1275,1962,0,10123,1168,187,0,0,0,850,0,159,0,0,0,0,0,0
Raynsford,Rt Hon Nick,117562,117562,0,0,2812,12668,91034,348,1367,1358,0,7975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilson,Phil,117268,102318,14950,17312,0,15745,61478,915,3192,760,0,2916,3803,7831,0,44,0,0,0,0,0,0,133,2,3139,21
Gerrard,Mr Neil,117044,113984,3060,0,2812,8733,83247,626,1570,1240,10035,5721,0,1136,0,0,0,115,0,1809,0,0,0,0,0,0
Lidington,Mr David,115891,111232,4659,19470,0,11239,70833,627,2690,1283,0,5090,1070,1138,0,208,100,445,1698,0,0,0,0,0,0,0
Kelly,Rt Hon Ruth,115844,107899,7945,13326,0,11951,80132,591,779,1061,0,59,437,4643,1876,0,0,0,0,0,173,1,86,1,730,5
Widdecombe,Rt Hon Ann,115728,114069,1659,858,0,20957,87456,465,903,1000,2430,0,1429,205,0,0,0,0,0,0,0,0,0,0,25,3
Howard,Rt Hon Michael,114990,112205,2785,18200,0,10883,78064,564,1874,1272,0,1348,2670,16,0,0,0,0,0,0,99,9,0,0,0,0
Shepherd,Mr Richard,113658,107751,5907,15402,0,10569,73053,284,430,685,0,7328,5794,0,0,0,0,0,0,0,0,0,0,0,113,2
Cunningham,Mr Jim,113238,108820,4418,17365,0,9958,75248,441,2360,1358,599,1491,1217,3093,0,0,0,0,0,0,108,2,0,0,0,0
Duncan Smith,Rt Hon Iain,112905,107853,5052,0,2812,16641,78983,276,1291,1257,0,6593,2054,2816,0,0,0,35,0,0,129,14,18,4,0,0
Benton,Mr Joe,112338,99965,12373,8363,0,8556,79667,426,1877,1076,0,0,1888,9314,0,0,0,0,0,0,286,2,563,2,322,2
Ennis,Jeff,109631,99353,10278,11632,0,9729,74104,281,439,1181,0,1987,6168,877,0,19,46,0,0,0,1267,11,0,0,1901,18
Robathan,Mr Andrew,109594,102364,7230,23083,0,11934,64599,233,1237,1278,0,0,3754,2450,0,0,0,0,0,0,362,9,664,20,0,0
Brokenshire,James,109215,107093,2122,368,0,14589,86036,668,1521,1165,0,2746,0,1720,0,0,0,402,0,0,0,0,0,0,0,0
Spicer,Sir Michael,109208,104376,4832,21162,0,11701,46714,560,1545,1107,0,21587,2814,1792,0,0,0,58,0,0,168,5,0,0,0,0
Evennett,Mr David,108837,106339,2498,0,2812,13369,82406,389,1635,1117,0,4611,1738,747,0,0,0,0,0,0,13,2,0,0,0,0
Pelling,Mr Andrew,106873,106851,22,0,2812,10244,79226,787,1755,1140,0,10887,0,0,0,0,1,21,0,0,0,0,0,0,0,0
Clapham,Mr Michael,106710,98463,8247,20256,0,8052,62689,223,1812,1310,0,4121,5421,1372,0,0,0,86,0,0,1091,10,0,0,277,2
Redwood,Rt Hon John,105917,102006,3911,22729,0,10427,55616,457,1841,1250,0,9686,3911,0,0,0,0,0,0,0,0,0,0,0,0,0
Benyon,Mr Richard,105728,103256,2472,0,0,15501,75566,1189,3625,1269,0,6106,824,1143,0,125,0,0,0,0,0,0,0,0,380,22
Afriyie,Adam,104652,104652,0,0,0,17297,83261,534,2270,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benn,Rt Hon Hilary,103877,93827,10050,11631,0,10661,64164,907,2218,1407,0,2839,0,10050,0,0,0,0,0,0,0,0,0,0,0,0
Bercow,John,103436,98036,5400,23083,0,7006,55952,735,2115,1001,0,8144,5400,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoey,Kate,100677,98491,2186,0,2812,4261,81010,1031,3637,1188,0,4552,2186,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley,Rt Hon Sir John,99796,98206,1590,22252,0,5930,65613,1193,1831,1387,0,0,1220,343,0,0,0,0,0,0,27,2,0,0,0,0
Randall,Mr John,98903,95657,3246,0,2812,16659,70884,625,3551,1126,0,0,3246,0,0,0,0,0,0,0,0,0,0,0,0,0
Dobson,Rt Hon Frank,97840,97667,173,0,2812,4371,85304,881,1648,26,0,2625,0,0,0,0,0,173,0,0,0,0,0,0,0,0
Winnick,Mr David,96202,91091,5111,9530,0,11575,67554,294,1109,1029,0,0,0,5107,0,0,0,4,0,0,0,0,0,0,0,0
Swayne,Mr Desmond,94753,90874,3879,15957,0,7322,64144,412,1607,1259,0,173,1372,2089,0,0,0,0,0,0,418,19,0,0,0,0
Sharma,Virendra,93052,90431,2621,0,1958,15988,62003,802,2395,1128,0,6157,1156,63,0,0,0,0,0,1402,0,0,0,0,0,0
Winterton,Sir Nicholas,89133,83079,6054,14918,0,7812,55388,1045,2997,919,0,0,5156,831,0,0,28,0,0,0,0,0,0,0,39,2
Taylor,Dr Richard,86484,81170,5314,19698,0,6065,53424,189,990,804,0,0,0,4567,0,0,0,0,0,0,643,8,104,2,0,0
Williams,Rt Hon Alan,80526,76815,3711,5221,0,10913,59313,368,303,256,0,441,3224,349,0,0,0,0,0,0,138,1,0,0,0,0
Martin,Rt Hon Michael J.,74522,61362,13160,11750,0,5547,42669,85,550,761,0,0,2628,178,10092,191,71,0,0,0,0,0,0,0,0,0
Skinner,Mr Dennis,66933,60521,6412,11323,0,1039,45522,306,1105,1226,0,0,5722,0,0,0,0,0,0,0,0,0,0,0,690,12
Blair,Rt Hon Tony,64064,63412,652,5772,0,2181,19188,0,0,1249,35022,0,0,652,0,0,0,0,0,0,0,14,0,19,0,0
Hollobone,Mr Philip,47737,40433,7304,22999,0,7623,400,71,435,1029,0,7876,1675,4839,0,790,0,0,0,0,0,0,0,0,0,0